from_id,to_id,verificationStatus
ART_V_POM,REQ_COMPAT,requires validation
ART_V_POM,REQ_PAYLOAD,requires validation
ART_V_POM,REQ_TRACE,requires validation
ART_V_AL,REQ_COMPAT,requires validation
ART_V_AL,REQ_PAYLOAD,requires validation
ART_V_AL,REQ_TRACE,requires validation
ART_CONC_PA12,REQ_COMPAT,requires validation
ART_CONC_PA12,REQ_PAYLOAD,requires validation
ART_CONC_PA12,REQ_TRACE,requires validation
ART_CONC_POM,REQ_COMPAT,requires validation
ART_CONC_POM,REQ_PAYLOAD,requires validation
ART_CONC_POM,REQ_TRACE,requires validation
ART_TPU_PAD,REQ_COMPAT,requires validation
ART_TPU_PAD,REQ_PAYLOAD,requires validation
ART_TPU_PAD,REQ_TRACE,requires validation
ART_SIL_PAD,REQ_COMPAT,requires validation
ART_SIL_PAD,REQ_PAYLOAD,requires validation
ART_SIL_PAD,REQ_TRACE,requires validation
ART_FINRAY_TPU,REQ_COMPAT,requires validation
ART_FINRAY_TPU,REQ_PAYLOAD,requires validation
ART_FINRAY_TPU,REQ_TRACE,requires validation
ART_FINRAY_TPE,REQ_COMPAT,requires validation
ART_FINRAY_TPE,REQ_PAYLOAD,requires validation
ART_FINRAY_TPE,REQ_TRACE,requires validation
ART_LONG_CFPA,REQ_COMPAT,requires validation
ART_LONG_CFPA,REQ_PAYLOAD,requires validation
ART_LONG_CFPA,REQ_TRACE,requires validation
ART_LONG_AL,REQ_COMPAT,requires validation
ART_LONG_AL,REQ_PAYLOAD,requires validation
ART_LONG_AL,REQ_TRACE,requires validation
ART_THIN_POM,REQ_COMPAT,requires validation
ART_THIN_POM,REQ_PAYLOAD,requires validation
ART_THIN_POM,REQ_TRACE,requires validation
ART_THIN_STEEL,REQ_COMPAT,requires validation
ART_THIN_STEEL,REQ_PAYLOAD,requires validation
ART_THIN_STEEL,REQ_TRACE,requires validation
ART_INTERNAL_PA12,REQ_COMPAT,requires validation
ART_INTERNAL_PA12,REQ_PAYLOAD,requires validation
ART_INTERNAL_PA12,REQ_TRACE,requires validation
ART_INTERNAL_AL,REQ_COMPAT,requires validation
ART_INTERNAL_AL,REQ_PAYLOAD,requires validation
ART_INTERNAL_AL,REQ_TRACE,requires validation
ART_3FINGER_PA12,REQ_COMPAT,requires validation
ART_3FINGER_PA12,REQ_PAYLOAD,requires validation
ART_3FINGER_PA12,REQ_TRACE,requires validation
ART_SOFT_SIL,REQ_COMPAT,requires validation
ART_SOFT_SIL,REQ_PAYLOAD,requires validation
ART_SOFT_SIL,REQ_TRACE,requires validation
ART_VAC_SMALL_NBR,REQ_COMPAT,requires validation
ART_VAC_SMALL_NBR,REQ_PAYLOAD,requires validation
ART_VAC_SMALL_NBR,REQ_TRACE,requires validation
ART_VAC_LARGE_SIL,REQ_COMPAT,requires validation
ART_VAC_LARGE_SIL,REQ_PAYLOAD,requires validation
ART_VAC_LARGE_SIL,REQ_TRACE,requires validation
ART_VAC_ARRAY,REQ_COMPAT,requires validation
ART_VAC_ARRAY,REQ_PAYLOAD,requires validation
ART_VAC_ARRAY,REQ_TRACE,requires validation
ART_MAG_SMALL,REQ_COMPAT,requires validation
ART_MAG_SMALL,REQ_PAYLOAD,requires validation
ART_MAG_SMALL,REQ_TRACE,requires validation
ART_MAG_WIDE,REQ_COMPAT,requires validation
ART_MAG_WIDE,REQ_PAYLOAD,requires validation
ART_MAG_WIDE,REQ_TRACE,requires validation
ART_HYBRID,REQ_COMPAT,requires validation
ART_HYBRID,REQ_PAYLOAD,requires validation
ART_HYBRID,REQ_TRACE,requires validation
ART_CUSTOM,REQ_CUSTOM,documented/application fit
ART_CUSTOM,REQ_REPLACEABLE,documented/application fit
ART_CUSTOM,REQ_SMALL,documented/application fit
ART_CUSTOM,REQ_REV_JOIN,documented/application fit
ART_LARGE,REQ_LARGE,documented/application fit
ART_LARGE,REQ_CENTERING,documented/application fit
ART_ADAPTIVE,REQ_FRAGILE,documented/application fit
ART_ADAPTIVE,REQ_IRREGULAR,documented/application fit
ART_ADAPTIVE,REQ_INTERNAL,documented/application fit
ART_ADAPTIVE,REQ_CENTERING,documented/application fit
ART_VACUUM,REQ_FLAT,documented/application fit
ART_VACUUM,REQ_LOW_MASS,documented/application fit
ART_MAGNET,REQ_FERRO,documented/application fit
ART_MAGNET,REQ_LOW_MASS,documented/application fit
ART_FLAT_PA12,REQ_CUSTOM,conceptual
ART_FLAT_PA12,REQ_REPLACEABLE,conceptual
ART_FLAT_PA12,REQ_LOCAL_AM,conceptual
ART_PREC_PA12,REQ_SMALL,conceptual
ART_PREC_PA12,REQ_CUSTOM,conceptual
ART_PREC_PA12,REQ_REPLACEABLE,conceptual
ART_XL_PA12,REQ_LARGE,conceptual
ART_XL_PA12,REQ_CUSTOM,conceptual
ART_FLAT_PETG,REQ_CUSTOM,conceptual
ART_FLAT_PETG,REQ_REPLACEABLE,conceptual
ART_FLAT_PETG,REQ_LOCAL_AM,conceptual
ART_FLAT_AL,REQ_CUSTOM,conceptual
ART_FLAT_AL,REQ_REPLACEABLE,conceptual
ART_FLAT_AL,REQ_LOCAL_AM,conceptual
ART_PREC_POM,REQ_SMALL,conceptual
ART_PREC_POM,REQ_CUSTOM,conceptual
ART_PREC_POM,REQ_REPLACEABLE,conceptual
ART_PREC_AL7075,REQ_SMALL,conceptual
ART_PREC_AL7075,REQ_CUSTOM,conceptual
ART_PREC_AL7075,REQ_REPLACEABLE,conceptual
ART_XL_CFPA,REQ_LARGE,conceptual
ART_XL_CFPA,REQ_CUSTOM,conceptual
ART_V_PA12,REQ_CENTERING,conceptual
ART_V_PA12,REQ_CUSTOM,conceptual
ART_V_PETG,REQ_CENTERING,conceptual
ART_V_PETG,REQ_CUSTOM,conceptual
ART_V_POM,REQ_CENTERING,conceptual
