from_id,to_id,factor,location
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,3.1143E+02,ID
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,4.49E+01,IT
b0744c5e-9859-470f-99dc-b117be5a32c5,IC_EF_LAND_USE,3.9744E+02,NZ
97990d8f-aae4-41ea-afb4-c62d2bcfea3b,IC_EF_LAND_USE,131,
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.3716E+02,SL
ceabbb26-5d70-41f2-81bd-c1b096dc0931,IC_EF_LAND_USE,131,
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-71,
ac0aba5c-66ce-42c9-9f46-1e47ab7bc4b9,IC_EF_LAND_USE,-1.0318E+02,TH
32e9ce57-5c64-44fe-ba5f-e29adb467eb7,IC_EF_LAND_USE,-1.9057E+02,CL
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,2.9453E+02,TH
fe0acd60-3ddc-11dd-ae5a-0050c2490048,IC_EF_WATER_USE,3.38E+01,US
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,4.24E+01,CN
42378359-15eb-4e60-8f72-b796b9d71e69,IC_EF_LAND_USE,1.9118E+02,LU
ac0aba5c-66ce-42c9-9f46-1e47ab7bc4b9,IC_EF_LAND_USE,-1.0318E+02,VE
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.1987E+02,IT
fae48449-451a-4d3c-b2fd-fc9102913b95,IC_EF_LAND_USE,1.0298E+02,SE
d4008b63-fb71-4e00-bfda-3528c9c7e40d,IC_EF_LAND_USE,-1.1465E+02,LV
67055318-bad9-420f-ae31-9ba54456518d,IC_EF_LAND_USE,-141,
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,1.0878E+02,SE
503f7e73-748c-4f38-9b87-90805b5d1c38,IC_EF_LAND_USE,-1.3679E+02,RO
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1209E+02,KR
aeea42cc-4215-465f-981f-ae2ab387fbb9,IC_EF_LAND_USE,-1.3714E+02,DE
b0744c5e-9859-470f-99dc-b117be5a32c5,IC_EF_LAND_USE,2.6927E+02,SK
f6225b5f-b9cf-4c88-82d2-a578e1ce5e42,IC_EF_LAND_USE,9.9824E+01,ES
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-2.8144E+02,SL
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-5.0764E+01,US
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,1.5179E+02,CN
80a0d183-7b74-4497-95f5-8bf25681c32e,IC_EF_LAND_USE,-1.2379E+02,HU
616ab5c3-116f-4fbb-bc6b-196318afe5be,IC_EF_LAND_USE,3.0602E+02,CO
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.1958E+02,CZ
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,7.82E+00,PH
d4008b63-fb71-4e00-bfda-3528c9c7e40d,IC_EF_LAND_USE,-8.5675E+01,FI
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-8.1397E+01,FI
68f57e2a-2909-423c-ad8e-6a695f59a48f,IC_EF_LAND_USE,207,
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,4.2950E+01,
1f31999a-6556-11dd-ad8b-0800200c9a66,IC_EF_RESOURCE_MINERALS,4.07E+01,
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-7.9615E+01,AR
f210f08e-7377-49b2-bed9-7e420a951ae9,IC_EF_LAND_USE,1.2199E+02,ID
8af79474-1d57-4251-a878-c2973b2814e6,IC_EF_LAND_USE,250,
3b9ccd9f-1dd3-48ad-b444-b08fb5a63a89,IC_EF_LAND_USE,1.4021E+02,DE
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.3625E+02,BR
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,1.5129E+02,FR
aeea42cc-4215-465f-981f-ae2ab387fbb9,IC_EF_LAND_USE,-8.9957E+01,ES
fae48449-451a-4d3c-b2fd-fc9102913b95,IC_EF_LAND_USE,1.8014E+02,IN
f210f08e-7377-49b2-bed9-7e420a951ae9,IC_EF_LAND_USE,1.0356E+02,TH
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-1.3121E+02,HU
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,1.30E+00,SK
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,6.98E+00,FR
d0c20793-3df9-44d3-9c84-5fb6feedcd12,IC_EF_LAND_USE,-1.5179E+02,CN
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.1954E+02,IE
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.1952E+02,HU
d4008b63-fb71-4e00-bfda-3528c9c7e40d,IC_EF_LAND_USE,-1.2706E+02,BE
