id,name,flowType,category,referenceUnit,casNumber,status,description,source,sourceDatabase
FLOW_PA12,PA12,ProductFlow,material,kg,,candidate,Intermediate/product flow for PA12,,
FLOW_PETG,PETG,ProductFlow,material,kg,,candidate,Intermediate/product flow for PETG,,
FLOW_ALUMINUM,Aluminum,ProductFlow,material,kg,,candidate,Intermediate/product flow for aluminum,,
FLOW_STEEL,Steel,ProductFlow,material,kg,,candidate,Intermediate/product flow for steel,,
FLOW_TPU,TPU,ProductFlow,material,kg,,candidate,Intermediate/product flow for TPU,,
FLOW_SILICONE,Silicone,ProductFlow,material,kg,,candidate,Intermediate/product flow for silicone,,
FLOW_ELECTRICITY,Electricity,ProductFlow,energy,kWh,,candidate,Electricity input as intermediate/product flow,,
FLOW_COMPONENT,Finished gripper component,ProductFlow,product,pcs,,candidate,Reference product output,,
FLOW_WASTE,Manufacturing waste,WasteFlow,waste,kg,,candidate,Generic waste flow,,
08a91e70-3ddc-11dd-9245-0050c2490048,carbon disulfide,ElementaryFlow,Emissions / Emissions to air,kg,000075-15-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9249-0050c2490048,carbon disulfide,ElementaryFlow,Emissions / Emissions to water,kg,000075-15-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-924e-0050c2490048,carbon monoxide (fossil),ElementaryFlow,Emissions / Emissions to air,kg,000630-08-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9257-0050c2490048,carbon-14,ElementaryFlow,Emissions / Emissions to air,kBq,014762-75-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-925b-0050c2490048,carbon-14,ElementaryFlow,Emissions / Emissions to water,kBq,014762-75-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-925e-0050c2490048,carbonate,ElementaryFlow,Emissions / Emissions to water,kg,003812-32-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-925f-0050c2490048,cerium,ElementaryFlow,Resources / Resources from ground,kg,007440-45-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9260-0050c2490048,cerium-141,ElementaryFlow,Emissions / Emissions to air,kBq,013967-74-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9273-0050c2490048,chlorpyrifos,ElementaryFlow,Emissions / Emissions to soil,kg,002921-88-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9275-0050c2490048,chlorpyrifos,ElementaryFlow,Emissions / Emissions to air,kg,002921-88-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9276-0050c2490048,clay,ElementaryFlow,Resources / Resources from ground,kg,070694-09-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
