from_id,to_id,contribution
RES_SOFT_SIL_CC,EX_PROC_SILCAST_FLOW_PART_OUT,
RES_SOFT_SIL_CC,EX_PROC_SILCAST_FLOW_WASTE_OUT,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_SIL_IN,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_ELEC_IN,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_PART_OUT,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_WASTE_OUT,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_SIL_IN,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_ELEC_IN,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_PART_OUT,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_WASTE_OUT,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_MAG_WIDE_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_MAG_WIDE_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_MAG_WIDE_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_MAG_WIDE_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_HYBRID_CC,EX_PROC_OVERMOLD_FLOW_TPU_IN,
RES_HYBRID_CC,EX_PROC_OVERMOLD_FLOW_ELEC_IN,
RES_HYBRID_CC,EX_PROC_OVERMOLD_FLOW_PART_OUT,
RES_HYBRID_CC,EX_PROC_OVERMOLD_FLOW_WASTE_OUT,
RES_FLAT_ABS_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_FLAT_ABS_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_FLAT_ABS_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_FLAT_ASA_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_FLAT_ASA_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_FLAT_ASA_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_FLAT_PLA_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_FLAT_PLA_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_FLAT_PLA_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_PREC_PA11_CC,EX_PROC_SLS_FLOW_ELEC_IN,
RES_PREC_PA11_CC,EX_PROC_SLS_FLOW_PART_OUT,
RES_PREC_PA11_CC,EX_PROC_SLS_FLOW_WASTE_OUT,
RES_PREC_PC_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_PREC_PC_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_PREC_PC_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_PU_PAD_CC,EX_PROC_RUBBER_FLOW_ELEC_IN,
RES_PU_PAD_CC,EX_PROC_RUBBER_FLOW_PART_OUT,
RES_PU_PAD_CC,EX_PROC_RUBBER_FLOW_WASTE_OUT,
