from_id,to_id,amount,unit,direction,location,quantitativeReference,ratioToReference,dataMaturity
PROC_ALU_EXTRUSION_EF,1f31c0ad-6556-11dd-ad8b-0800200c9a66,-1.80088865785381E-11,kg,input,,false,-1.80088865785381E-11,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,9fcab08d-c0e9-490f-b594-ee023a78d5c7,3.36154786886785E-20,m2,input,ZA,false,3.36154786886785E-20,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,1729ef88-6556-11dd-ad8b-0800200c9a66,8.35428673660198E-6,m3,input,LT,false,8.35428673660198E-06,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,848d055d-88c2-4926-9ddd-1671887c4e2f,1.26577573089895E-10,m2,input,CA,false,1.26577573089895E-10,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,b0744c5e-9859-470f-99dc-b117be5a32c5,1.66146810601659E-8,m2*a,input,ES,false,1.66146810601659E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,42378359-15eb-4e60-8f72-b796b9d71e69,1.41451894475111E-8,m2*a,input,KR,false,1.41451894475111E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,39f017d4-14b0-44c2-93c6-ed6bf28332a8,5.27667777539774E-5,m2*a,input,FR,false,5.27667777539774E-05,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,848d055d-88c2-4926-9ddd-1671887c4e2f,4.2778652410943E-13,m2,input,ID,false,4.2778652410943E-13,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,1729efae-6556-11dd-ad8b-0800200c9a66,1.15021662065658E-11,kg,input,,false,1.15021662065658E-11,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,eb84226d-129f-49d8-8d69-cc484b7a6cbf,8.02303248289078E-9,m2*a,input,MK,false,8.02303248289078E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,6e70f994-480b-4836-a605-5f958a3d7ea4,0.00962939177852447,m3,input,RU,false,0.00962939177852447,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,1a00b335-af6e-47db-bc23-012f2c0642ab,4.10527832706093E-7,m2,input,BA,false,4.10527832706093E-07,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,933debfd-2aa5-4a35-b07b-2732350ea29c,8.89783376467814E-10,m2,input,UA,false,8.89783376467814E-10,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,e412ed0d-8a14-4eea-a9f5-f966517360c0,142.49274002246085,m3,input,,false,142.492740022461,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,fe0acd60-3ddc-11dd-ab5f-0050c2490048,1.79381806180152,kg,input,,false,1.79381806180152,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,fe0acd60-3ddc-11dd-a7ba-0050c2490048,1.74851421875721E-17,kg,input,,false,1.74851421875721E-17,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,5bd6b1f7-11f8-40d5-ab22-19cadfa38402,3.09891072859281E-29,m2,input,,false,3.09891072859281E-29,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,1729ef88-6556-11dd-ad8b-0800200c9a66,7.36939138102632E-6,m3,input,MK,false,7.36939138102632E-06,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,172a8bdd-6556-11dd-ad8b-0800200c9a66,1.5851868829219E-4,kg,input,,false,0.00015851868829219,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,42378359-15eb-4e60-8f72-b796b9d71e69,9.54350365545351E-7,m2*a,input,PL,false,9.54350365545351E-07,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,80a0d183-7b74-4497-95f5-8bf25681c32e,1.14549218775893E-7,m2,input,DE,false,1.14549218775893E-07,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,f62266ab-2385-45b1-beb6-cbdbafaeb00b,1.51137558095197E-5,m3,input,NL,false,1.51137558095197E-05,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,39f017d4-14b0-44c2-93c6-ed6bf28332a8,0.0130314413065355,m2*a,input,DE,false,0.0130314413065355,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,e29e7755-623d-47fb-b2ac-c0615a1b709f,1.03763039561568E-9,m2,input,LT,false,1.03763039561568E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,503f7e73-748c-4f38-9b87-90805b5d1c38,2.83713148801073E-12,m2,input,CN,false,2.83713148801073E-12,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,e2fa8f8e-6555-11dd-ad8b-0800200c9a66,6.03388798422698E-14,kg,input,,false,6.03388798422698E-14,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,172ad9fa-6556-11dd-ad8b-0800200c9a66,0.119520701233173,kg,input,,false,0.119520701233173,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,b0744c5e-9859-470f-99dc-b117be5a32c5,0.00168950322436154,m2*a,input,,false,0.00168950322436154,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,28e5f69f-7b2e-4e31-9725-d407b2964b3f,3.45496030144427E-8,m2,input,MX,false,3.45496030144427E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,e2fb04b0-6555-11dd-ad8b-0800200c9a66,0.00181828655682171,kg,input,,false,0.00181828655682171,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,c38ef9cf-ae41-40a8-b018-58d9472c7cfa,0.0063404349883264,m2*a,input,FI,false,0.0063404349883264,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,b0259a80-eb97-4dee-be0a-d0535a8a9ed4,1.92719584653143E-8,m2,input,NL,false,1.92719584653143E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,64faa7b1-e114-497a-b584-f4659e7115e4,7.60769007866735E-9,m2,input,RO,false,7.60769007866735E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,92f1554f-121d-4f07-a1bb-b07cd2f7c2f5,3.05340473924438E-8,m2*a,input,EE,false,3.05340473924438E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,e29e7755-623d-47fb-b2ac-c0615a1b709f,1.65233959861966E-10,m2,input,MX,false,1.65233959861966E-10,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,9fcab08d-c0e9-490f-b594-ee023a78d5c7,7.12866504988735E-9,m2,input,US,false,7.12866504988735E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,933debfd-2aa5-4a35-b07b-2732350ea29c,6.07914748205271E-10,m2,input,AT,false,6.07914748205271E-10,background_LCI_secondary_ILCD
